Team ▾,QB,RB,WR,TE,OL,Offense,IDL,EDGE,LB,S,CB,Defense,Wins,Winning %,Playoff Appearance
49ers,"$28,656,986","$12,651,495","$11,274,168","$8,237,185","$34,553,407","$95,373,241","$12,427,647","$27,179,317","$4,658,200","$12,992,886","$23,135,002","$80,393,052",6,0.38,No
Bears,"$16,294,775","$5,188,323","$25,075,558","$10,102,779","$29,765,996","$86,427,431","$19,619,611","$34,953,918","$11,570,430","$7,673,452","$22,163,187","$95,980,598",8,0.50,Yes
Bengals,"$7,882,344","$10,305,900","$37,184,947","$9,965,411","$27,247,745","$92,586,347","$29,271,973","$4,182,486","$5,961,669","$13,144,334","$27,676,010","$80,236,472",4,0.25,No
Bills,"$8,756,449","$5,465,493","$34,088,188","$9,757,777","$38,644,130","$96,712,037","$21,223,086","$31,426,602","$16,731,863","$16,659,474","$20,736,847","$106,777,872",13,0.81,Yes
Broncos,"$3,938,956","$9,025,620","$9,316,695","$7,139,192","$24,536,776","$53,957,239","$23,618,489","$36,419,854","$3,752,646","$27,037,756","$20,138,402","$110,967,147",5,0.31,No
Browns,"$11,937,673","$6,893,053","$33,178,607","$8,176,049","$40,583,203","$100,768,585","$17,914,080","$26,132,262","$6,861,412","$9,671,857","$18,075,490","$78,655,101",11,0.69,Yes
Buccaneers,"$27,556,500","$6,969,905","$14,576,858","$19,792,747","$40,217,623","$109,113,633","$20,612,811","$29,946,760","$19,483,225","$4,118,737","$6,385,738","$80,547,271",11,0.69,Yes
Cardinals,"$9,578,101","$10,593,827","$23,209,798","$5,105,235","$29,353,069","$77,840,030","$12,796,580","$32,876,967","$18,224,888","$6,926,444","$25,002,424","$95,827,303",8,0.50,No
Chargers,"$13,077,156","$7,122,592","$19,513,770","$16,077,000","$32,040,903","$87,831,421","$11,318,006","$34,806,798","$15,450,481","$8,080,983","$22,250,416","$91,906,684",7,0.44,No
Chiefs,"$7,250,503","$5,099,201","$36,777,928","$12,578,400","$36,669,047","$98,375,079","$18,388,976","$27,380,548","$21,534,268","$23,192,615","$7,893,856","$98,390,263",14,0.88,Yes
Colts,"$47,105,566","$5,629,641","$19,415,611","$10,806,164","$50,913,166","$133,870,148","$33,864,259","$15,097,967","$7,983,967","$7,437,136","$13,393,415","$77,776,744",11,0.69,Yes
Commanders,"$21,143,235","$4,636,838","$5,094,070","$5,735,630","$37,529,075","$74,138,848","$14,842,436","$23,435,574","$14,351,855","$17,618,175","$12,168,640","$82,416,680",7,0.44,Yes
Cowboys,"$35,728,728","$12,355,915","$18,148,958","$6,554,264","$27,902,811","$100,690,676","$13,356,195","$14,629,219","$18,552,489","$5,243,874","$9,660,756","$61,442,533",6,0.38,No
Dolphins,"$13,738,107","$6,048,483","$12,934,747","$5,150,508","$25,769,545","$63,641,390","$8,882,281","$30,184,088","$9,679,600","$15,602,600","$34,531,218","$98,879,787",10,0.63,No
Eagles,"$21,452,022","$3,762,174","$29,943,350","$15,435,113","$39,993,612","$110,586,271","$26,475,772","$13,051,595","$5,348,034","$9,032,645","$8,624,266","$62,532,312",4,0.25,No
Falcons,"$21,507,782","$9,372,815","$26,854,214","$3,078,558","$35,991,007","$96,804,376","$17,819,198","$14,691,090","$13,006,119","$17,770,690","$7,025,458","$70,312,555",4,0.25,No
Giants,"$8,405,304","$13,923,430","$23,880,958","$7,419,447","$35,630,875","$89,260,014","$24,137,314","$7,290,295","$16,794,724","$14,908,372","$13,037,624","$76,168,329",6,0.38,No
Jaguars,"$2,218,968","$4,284,150","$13,008,642","$7,035,664","$34,261,623","$60,809,047","$9,073,262","$10,129,711","$24,171,380","$6,022,218","$15,313,716","$64,710,287",1,0.06,No
Jets,"$10,741,087","$2,359,512","$20,094,445","$6,041,573","$30,068,651","$69,305,268","$18,519,603","$7,043,171","$16,895,382","$8,641,644","$9,088,228","$60,188,028",2,0.13,No
Lions,"$23,776,471","$4,561,066","$17,671,718","$10,449,973","$22,917,842","$79,377,070","$8,469,068","$26,497,026","$16,088,641","$8,317,073","$27,875,270","$87,247,078",5,0.31,No
Packers,"$24,645,540","$7,058,628","$20,521,932","$5,301,804","$47,239,400","$104,767,304","$15,375,862","$35,768,583","$8,225,930","$14,695,548","$9,592,282","$83,658,205",13,0.81,Yes
Panthers,"$15,601,427","$12,031,841","$16,714,487","$2,979,798","$35,976,093","$83,303,646","$26,270,183","$11,266,370","$12,158,932","$9,916,654","$4,327,671","$63,939,810",5,0.31,No
Patriots,"$3,605,328","$11,650,746","$18,385,266","$2,423,440","$37,449,919","$73,514,699","$13,774,273","$10,921,606","$2,456,912","$13,468,641","$40,532,199","$81,153,631",7,0.44,No
Raiders,"$31,625,000","$8,300,028","$18,214,691","$15,657,398","$53,138,925","$126,936,042","$13,236,548","$18,222,524","$16,390,125","$20,138,076","$8,384,032","$76,371,305",8,0.50,No
Rams,"$29,742,082","$4,617,451","$16,494,036","$12,714,317","$22,942,443","$86,510,329","$33,835,477","$12,064,881","$3,154,812","$6,219,689","$12,460,591","$67,735,450",10,0.63,Yes
Ravens,"$5,966,788","$8,155,745","$12,794,229","$8,389,562","$21,116,613","$56,422,937","$27,706,314","$25,887,415","$7,122,223","$6,137,220","$36,177,351","$103,030,523",11,0.69,Yes
Saints,"$29,615,000","$10,071,475","$15,770,933","$12,818,826","$26,828,544","$95,104,778","$15,509,386","$14,776,363","$14,017,409","$6,835,585","$15,982,911","$67,121,654",12,0.75,Yes
Seahawks,"$32,063,900","$9,951,728","$16,222,301","$12,094,038","$26,646,044","$96,978,011","$11,979,291","$11,274,881","$33,886,063","$11,699,875","$10,554,173","$79,394,283",12,0.75,Yes
Steelers,"$25,787,420","$3,152,932","$5,904,043","$8,917,978","$34,322,786","$78,085,159","$31,946,840","$20,928,988","$14,097,958","$7,531,643","$22,491,577","$96,997,006",12,0.75,Yes
